name,iterations,real_time,cpu_time,time_unit,name,iterations,real_time,cpu_time,real_time_diff,cpu_time_idff,match
Client: ECDHE-RSA-AES128-SHA256/1000000/24/1/4/iterations:100/repeats:1,100,1.42E+07,7.58E+06,ns,Client: ECDHE-RSA-AES128-SHA256/1000000/24/1/4/iterations:100/repeats:1,100,1.24E+07,6.18E+06,0.124022969,0.184542824,Match
Client: ECDHE-RSA-AES256-SHA384/100/25/1/4/iterations:100/repeats:1,100,39915.6,16699.9,ns,Client: ECDHE-RSA-AES256-SHA384/100/25/1/4/iterations:100/repeats:1,100,40895.1,17517.9,-0.024539278,-0.048982329,Match
Client: ECDHE-RSA-AES256-SHA384/10000/25/1/4/iterations:100/repeats:1,100,164173,83976.8,ns,Client: ECDHE-RSA-AES256-SHA384/10000/25/1/4/iterations:100/repeats:1,100,156377,80007.6,0.047486493,0.047265435,Match
Client: ECDHE-RSA-AES256-SHA384/1000000/25/1/4/iterations:100/repeats:1,100,1.20E+07,6.69E+06,ns,Client: ECDHE-RSA-AES256-SHA384/1000000/25/1/4/iterations:100/repeats:1,100,1.13E+07,6.33E+06,0.06172613,0.054486629,Match
Client: ECDHE-ECDSA-AES128-GCM-SHA256/100/26/1/4/iterations:100/repeats:1,100,31879.6,12140.3,ns,Client: ECDHE-ECDSA-AES128-GCM-SHA256/100/26/1/4/iterations:100/repeats:1,100,32250.4,12388.2,-0.011631263,-0.020419594,Match
Client: ECDHE-ECDSA-AES128-GCM-SHA256/10000/26/1/4/iterations:100/repeats:1,100,66479.5,26432.6,ns,Client: ECDHE-ECDSA-AES128-GCM-SHA256/10000/26/1/4/iterations:100/repeats:1,100,66839.5,26579.4,-0.005415203,-0.005553748,Match
Client: ECDHE-ECDSA-AES128-GCM-SHA256/1000000/26/1/4/iterations:100/repeats:1,100,2.68E+06,1.24E+06,ns,Client: ECDHE-ECDSA-AES128-GCM-SHA256/1000000/26/1/4/iterations:100/repeats:1,100,2.74E+06,1.27E+06,-0.020562718,-0.02417233,Match
Client: ECDHE-ECDSA-AES256-GCM-SHA384/100/27/1/4/iterations:100/repeats:1,100,31755.4,12027.8,ns,Client: ECDHE-ECDSA-AES256-GCM-SHA384/100/27/1/4/iterations:100/repeats:1,100,32254.2,12421.2,-0.015707565,-0.032707561,Match
Client: ECDHE-ECDSA-AES256-GCM-SHA384/10000/27/1/4/iterations:100/repeats:1,100,67417.6,27173.9,ns,Client: ECDHE-ECDSA-AES256-GCM-SHA384/10000/27/1/4/iterations:100/repeats:1,100,68515.3,28089.1,-0.016282098,-0.033679376,Match
Client: ECDHE-ECDSA-AES256-GCM-SHA384/1000000/27/1/4/iterations:100/repeats:1,100,2.95E+06,1.38E+06,ns,Client: ECDHE-ECDSA-AES256-GCM-SHA384/1000000/27/1/4/iterations:100/repeats:1,100,3.01E+06,1.40E+06,-0.020167663,-0.019712063,Match
Client: ECDHE-RSA-AES128-GCM-SHA256/100/28/1/4/iterations:100/repeats:1,100,32427,12311.2,ns,Client: ECDHE-RSA-AES128-GCM-SHA256/100/28/1/4/iterations:100/repeats:1,100,32266.7,12434.8,0.004943411,-0.010039639,Match
Client: ECDHE-RSA-AES128-GCM-SHA256/10000/28/1/4/iterations:100/repeats:1,100,64998.7,25901.4,ns,Client: ECDHE-RSA-AES128-GCM-SHA256/10000/28/1/4/iterations:100/repeats:1,100,65455,26555,-0.00702014,-0.025234157,Match
Client: ECDHE-RSA-AES128-GCM-SHA256/1000000/28/1/4/iterations:100/repeats:1,100,2.68E+06,1.24E+06,ns,Client: ECDHE-RSA-AES128-GCM-SHA256/1000000/28/1/4/iterations:100/repeats:1,100,2.74E+06,1.27E+06,-0.025043713,-0.025998804,Match
Client: ECDHE-RSA-AES256-GCM-SHA384/100/29/1/4/iterations:100/repeats:1,100,31767.3,12034,ns,Client: ECDHE-RSA-AES256-GCM-SHA384/100/29/1/4/iterations:100/repeats:1,100,32509.9,12571,-0.023376239,-0.044623567,Match
Client: ECDHE-RSA-AES256-GCM-SHA384/10000/29/1/4/iterations:100/repeats:1,100,67187,27165.1,ns,Client: ECDHE-RSA-AES256-GCM-SHA384/10000/29/1/4/iterations:100/repeats:1,100,68293.2,27757.3,-0.016464495,-0.02180003,Match
Client: ECDHE-RSA-AES256-GCM-SHA384/1000000/29/1/4/iterations:100/repeats:1,100,2.96E+06,1.38E+06,ns,Client: ECDHE-RSA-AES256-GCM-SHA384/1000000/29/1/4/iterations:100/repeats:1,100,3.05E+06,1.40E+06,-0.029925608,-0.021262671,Match
Client: ECDHE-RSA-CHACHA20-POLY1305/100/30/1/4/iterations:100/repeats:1,100,32021.4,12167.6,ns,Client: ECDHE-RSA-CHACHA20-POLY1305/100/30/1/4/iterations:100/repeats:1,100,33183.6,12652.2,-0.036294478,-0.039827082,Match
Client: ECDHE-RSA-CHACHA20-POLY1305/10000/30/1/4/iterations:100/repeats:1,100,78373.8,33001.8,ns,Client: ECDHE-RSA-CHACHA20-POLY1305/10000/30/1/4/iterations:100/repeats:1,100,87765.7,36287.1,-0.11983469,-0.099549116,Match
Client: ECDHE-RSA-CHACHA20-POLY1305/1000000/30/1/4/iterations:100/repeats:1,100,3.88E+06,1.84E+06,ns,Client: ECDHE-RSA-CHACHA20-POLY1305/1000000/30/1/4/iterations:100/repeats:1,100,4.25E+06,1.99E+06,-0.093924161,-0.080695345,Match
Client: ECDHE-ECDSA-CHACHA20-POLY1305/100/31/1/4/iterations:100/repeats:1,100,32193.9,12091.1,ns,Client: ECDHE-ECDSA-CHACHA20-POLY1305/100/31/1/4/iterations:100/repeats:1,100,33211.8,12681.7,-0.031617791,-0.048845845,Match
Client: ECDHE-ECDSA-CHACHA20-POLY1305/10000/31/1/4/iterations:100/repeats:1,100,76442.1,32202.1,ns,Client: ECDHE-ECDSA-CHACHA20-POLY1305/10000/31/1/4/iterations:100/repeats:1,100,86196.2,35512.4,-0.127601152,-0.102797644,Match
Client: ECDHE-ECDSA-CHACHA20-POLY1305/1000000/31/1/4/iterations:100/repeats:1,100,3.85E+06,1.84E+06,ns,Client: ECDHE-ECDSA-CHACHA20-POLY1305/1000000/31/1/4/iterations:100/repeats:1,100,4.23E+06,1.99E+06,-0.097320158,-0.083883938,Match
Client: DHE-RSA-CHACHA20-POLY1305/100/32/1/4/iterations:100/repeats:1,100,31841.1,12420.2,ns,Client: DHE-RSA-CHACHA20-POLY1305/100/32/1/4/iterations:100/repeats:1,100,32780.6,12767.1,-0.02950589,-0.027930307,Match
Client: DHE-RSA-CHACHA20-POLY1305/10000/32/1/4/iterations:100/repeats:1,100,75380.8,31979,ns,Client: DHE-RSA-CHACHA20-POLY1305/10000/32/1/4/iterations:100/repeats:1,100,85873.4,35878.2,-0.139194596,-0.121930017,Match
Client: DHE-RSA-CHACHA20-POLY1305/1000000/32/1/4/iterations:100/repeats:1,100,3.86E+06,1.84E+06,ns,Client: DHE-RSA-CHACHA20-POLY1305/1000000/32/1/4/iterations:100/repeats:1,100,4.20E+06,1.99E+06,-0.08728748,-0.080730043,Match
Client: ECDHE-BIKE-RSA-AES256-GCM-SHA384/100/33/1/4/iterations:100/repeats:1,100,32108.3,12191.5,ns,Client: ECDHE-BIKE-RSA-AES256-GCM-SHA384/100/33/1/4/iterations:100/repeats:1,100,32688.8,12613,-0.018079437,-0.034573268,Match
Client: ECDHE-BIKE-RSA-AES256-GCM-SHA384/10000/33/1/4/iterations:100/repeats:1,100,19821.9,19847.7,ns,Client: ECDHE-BIKE-RSA-AES256-GCM-SHA384/10000/33/1/4/iterations:100/repeats:1,100,19596,19601.4,0.011396486,0.012409498,Match
Client: ECDHE-BIKE-RSA-AES256-GCM-SHA384/1000000/33/1/4/iterations:100/repeats:1,100,2.91E+06,1.37E+06,ns,Client: ECDHE-BIKE-RSA-AES256-GCM-SHA384/1000000/33/1/4/iterations:100/repeats:1,100,3.02E+06,1.40E+06,-0.036817747,-0.020968908,Match
Client: ECDHE-SIKE-RSA-AES256-GCM-SHA384/100/34/1/4/iterations:100/repeats:1,100,32641.7,12307.3,ns,Client: ECDHE-SIKE-RSA-AES256-GCM-SHA384/100/34/1/4/iterations:100/repeats:1,100,32824.9,12626.7,-0.005612453,-0.025952077,Match
Client: ECDHE-SIKE-RSA-AES256-GCM-SHA384/10000/34/1/4/iterations:100/repeats:1,100,68887,27872.8,ns,Client: ECDHE-SIKE-RSA-AES256-GCM-SHA384/10000/34/1/4/iterations:100/repeats:1,100,69687.2,27982.8,-0.011616125,-0.0039465,Match
Client: ECDHE-SIKE-RSA-AES256-GCM-SHA384/1000000/34/1/4/iterations:100/repeats:1,100,2.96E+06,1.38E+06,ns,Client: ECDHE-SIKE-RSA-AES256-GCM-SHA384/1000000/34/1/4/iterations:100/repeats:1,100,3.01E+06,1.40E+06,-0.017801947,-0.013060337,Match
Client: ECDHE-KYBER-RSA-AES256-GCM-SHA384/100/35/1/4/iterations:100/repeats:1,100,32266,12184.6,ns,Client: ECDHE-KYBER-RSA-AES256-GCM-SHA384/100/35/1/4/iterations:100/repeats:1,100,32151.5,12282,0.003548627,-0.007993697,Match
